epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,770.798,0.74576,0.56524,0.86971,0.63308,0.65648,0.65359,0.44449,1.05816,1.06842,0.95263,0.000668054,0.000668054,0.000668054
67,782.256,0.78071,0.56262,0.87952,0.58333,0.70147,0.65442,0.44111,1.04585,1.12976,0.93879,0.000667347,0.000667347,0.000667347
68,793.628,0.73563,0.55123,0.86689,0.56732,0.7428,0.65092,0.42914,1.04217,1.0984,0.93938,0.00066664,0.00066664,0.00066664
69,804.996,0.7414,0.55804,0.87088,0.64155,0.70831,0.66875,0.44579,1.03416,1.06915,0.932,0.000665934,0.000665934,0.000665934
70,816.382,0.73673,0.53678,0.86463,0.69245,0.65288,0.67179,0.44652,1.06283,1.10436,0.94296,0.000665227,0.000665227,0.000665227
71,827.901,0.7175,0.52829,0.86548,0.63505,0.65083,0.64385,0.42748,1.06567,1.07937,0.95026,0.00066452,0.00066452,0.00066452
72,839.688,0.72503,0.52703,0.86602,0.65071,0.65303,0.66852,0.44942,1.03494,1.09888,0.95299,0.000663813,0.000663813,0.000663813
73,851.86,0.73351,0.55131,0.86687,0.61703,0.6934,0.66467,0.44115,1.07221,1.0954,0.94226,0.000663106,0.000663106,0.000663106
74,863.573,0.73293,0.54772,0.86487,0.58065,0.75407,0.69591,0.47112,1.07116,1.01635,0.95603,0.000662399,0.000662399,0.000662399
75,875.182,0.72983,0.53769,0.86633,0.60272,0.72563,0.7022,0.46386,1.0722,1.04004,0.95723,0.000661692,0.000661692,0.000661692
76,886.607,0.72631,0.54389,0.8673,0.53938,0.75831,0.63558,0.43036,1.01679,1.09869,0.92672,0.000660986,0.000660986,0.000660986
77,897.9,0.7031,0.53226,0.86974,0.6425,0.63273,0.65178,0.44176,1.0526,1.19195,0.93025,0.000660279,0.000660279,0.000660279
78,909.412,0.71816,0.52775,0.8615,0.58386,0.73543,0.66083,0.43962,1.07785,1.03723,0.95079,0.000659572,0.000659572,0.000659572
79,920.714,0.73715,0.52714,0.87037,0.60459,0.80773,0.69677,0.46269,1.03862,1.00275,0.9509,0.000658865,0.000658865,0.000658865
80,932.111,0.73712,0.53317,0.8711,0.6113,0.70238,0.68033,0.45892,1.05041,1.00182,0.93582,0.000658158,0.000658158,0.000658158
81,943.987,0.73686,0.5394,0.86376,0.58266,0.66732,0.66993,0.45344,1.0152,1.063,0.92839,0.000657451,0.000657451,0.000657451
82,955.42,0.71836,0.51351,0.86096,0.5696,0.75529,0.66954,0.44349,1.11076,1.04337,0.96769,0.000656744,0.000656744,0.000656744
83,967.528,0.71927,0.51919,0.86756,0.56028,0.73892,0.66027,0.43924,1.08692,1.05807,0.94227,0.000656037,0.000656037,0.000656037
84,978.996,0.7115,0.5206,0.86412,0.61455,0.61648,0.61252,0.41051,1.0571,1.10469,0.95012,0.000655331,0.000655331,0.000655331
85,990.586,0.70568,0.50943,0.86461,0.62343,0.69435,0.68817,0.45957,1.0695,1.06251,0.97372,0.000654624,0.000654624,0.000654624
86,1002.26,0.71407,0.51301,0.8667,0.6443,0.72607,0.70387,0.4794,1.0457,1.05649,0.94017,0.000653917,0.000653917,0.000653917
87,1013.88,0.72655,0.51269,0.86679,0.6451,0.79999,0.70993,0.46086,1.05567,1.06026,0.92051,0.00065321,0.00065321,0.00065321
88,1025.51,0.71846,0.51366,0.87068,0.65607,0.83939,0.69801,0.47448,1.005,0.9463,0.91508,0.000652503,0.000652503,0.000652503
89,1036.92,0.71323,0.4976,0.86602,0.60878,0.81914,0.68203,0.46896,1.00032,0.96273,0.92222,0.000651796,0.000651796,0.000651796
90,1048.31,0.68264,0.48594,0.85944,0.61524,0.71543,0.63436,0.42245,1.02902,1.05891,0.92853,0.000651089,0.000651089,0.000651089
91,1059.72,0.69332,0.49679,0.86154,0.61244,0.69188,0.66601,0.45201,1.07138,1.13496,0.93516,0.000650383,0.000650383,0.000650383
92,1071.03,0.69781,0.49299,0.8654,0.63125,0.7397,0.68222,0.46407,1.04925,1.07136,0.92667,0.000649676,0.000649676,0.000649676
93,1082.75,0.71272,0.50283,0.87164,0.61575,0.70601,0.65913,0.43356,1.07995,1.0956,0.93919,0.000648969,0.000648969,0.000648969
94,1093.9,0.69848,0.49556,0.86305,0.67955,0.7329,0.71698,0.48693,1.01434,0.97888,0.9301,0.000648262,0.000648262,0.000648262
95,1105.29,0.69696,0.51337,0.8591,0.61992,0.72954,0.66798,0.45154,1.01421,1.04285,0.92533,0.000647555,0.000647555,0.000647555
96,1117.15,0.69707,0.50275,0.86086,0.63631,0.66969,0.65116,0.42996,1.05234,1.14159,0.93126,0.000646848,0.000646848,0.000646848
97,1129.11,0.71155,0.49339,0.86089,0.62895,0.6927,0.6609,0.43545,1.03022,1.11317,0.9193,0.000646141,0.000646141,0.000646141
98,1140.75,0.68475,0.48988,0.855,0.56661,0.74224,0.65085,0.43372,1.05869,1.07128,0.94369,0.000645435,0.000645435,0.000645435
99,1152.65,0.6823,0.47723,0.86144,0.65993,0.68797,0.67273,0.45462,1.04878,1.01951,0.96059,0.000644728,0.000644728,0.000644728
100,1164.29,0.69063,0.48142,0.85746,0.59963,0.7216,0.65013,0.42735,1.00616,1.06188,0.93133,0.000644021,0.000644021,0.000644021
101,1176.05,0.68977,0.49129,0.86534,0.67772,0.79232,0.74269,0.48094,1.05078,0.99824,0.93572,0.000643314,0.000643314,0.000643314
102,1187.67,0.68078,0.48712,0.85871,0.67179,0.7412,0.73948,0.49681,1.03014,1.05509,0.95344,0.000642607,0.000642607,0.000642607
103,1199.35,0.66266,0.477,0.85867,0.63354,0.72438,0.68779,0.46331,1.05586,1.06001,0.94897,0.0006419,0.0006419,0.0006419
104,1211.11,0.66321,0.48303,0.85506,0.70374,0.70702,0.70087,0.46176,1.01454,1.06795,0.92493,0.000641193,0.000641193,0.000641193
105,1223.03,0.68128,0.49572,0.85934,0.71735,0.766,0.73991,0.49057,1.02439,1.00224,0.92505,0.000640487,0.000640487,0.000640487
106,1234.68,0.68385,0.49751,0.86135,0.68867,0.70576,0.68902,0.46648,1.02085,1.04658,0.93043,0.00063978,0.00063978,0.00063978
107,1246.12,0.67596,0.48459,0.85599,0.62958,0.75856,0.69071,0.44504,1.0603,1.10074,0.94874,0.000639073,0.000639073,0.000639073
108,1258.1,0.67863,0.47753,0.85216,0.62492,0.70009,0.65493,0.43975,1.04517,1.09347,0.95108,0.000638366,0.000638366,0.000638366
109,1269.84,0.68479,0.48238,0.85149,0.64082,0.74828,0.67816,0.4509,1.07035,1.0569,0.95776,0.000637659,0.000637659,0.000637659
110,1281.7,0.66486,0.46634,0.85287,0.64805,0.70198,0.65747,0.43404,1.05156,1.10489,0.96034,0.000636952,0.000636952,0.000636952
111,1293.39,0.66843,0.46362,0.85355,0.70271,0.68257,0.68294,0.44238,1.05584,1.12542,0.96211,0.000636245,0.000636245,0.000636245
112,1304.88,0.66731,0.4629,0.85782,0.5804,0.75031,0.67855,0.46274,1.02159,1.07401,0.95282,0.000635539,0.000635539,0.000635539
